Trial,Location,Lat,Lon,Year,rep,col,row,geno,yield
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,23,g150,2.477
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,24,g151,3.552
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,25,g152,2.121
CM08,Coomalbidgup,-33.8,120.64,2008,1,6,26,g153,2.868
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,1,g049,2.42
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,2,g035,0.963
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,3,g036,2.264
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,4,g006,3.593
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,5,g001,1.651
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,6,g033,2.176
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,7,g071,2.176
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,8,g053,2.98
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,9,g037,1.609
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,10,g137,2.086
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,11,g010,1.734
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,12,g096,2.051
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,13,g143,2.701
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,14,g105,2.809
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,15,g046,2.95
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,16,g149,3.332
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,17,g090,3.431
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,18,g125,3.123
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,19,g025,3.215
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,20,g078,1.765
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,21,g101,2.928
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,22,g122,1.519
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,23,g012,2.567
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,24,g113,2.763
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,25,g005,2.409
CM08,Coomalbidgup,-33.8,120.64,2008,2,7,26,g130,2.906
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,1,g008,1.248
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,2,g070,1.793
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,3,g095,2.101
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,4,g142,2.532
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,5,g094,2.314
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,6,g102,1.174
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,7,g089,2.519
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,8,g092,2.576
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,9,g083,3.119
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,10,g114,2.182
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,11,g002,2.576
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,12,g034,2.288
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,13,g031,2.451
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,14,g103,2.473
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,15,g077,2.974
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,16,g022,1.976
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,17,g067,2.739
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,18,g050,1.811
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,19,g110,2.993
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,20,g052,2.668
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,21,g107,2.664
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,22,g058,2.275
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,23,g051,2.189
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,24,g087,2.323
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,25,g153,2.807
CM08,Coomalbidgup,-33.8,120.64,2008,2,8,26,g076,3.323
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,1,g007,2.237
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,2,g066,1.991
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,3,g091,4.503
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,4,g139,2.486
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,5,g018,1.98
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,6,g119,2.512
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,7,g133,3.31
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,8,g120,2.347
CM08,Coomalbidgup,-33.8,120.64,2008,2,9,9,g079,3.312
